Gene Symbol Herein	Gene Symbol ZFIN	Gene Symbol Source	Species	Higher-level taxon	Evidence	Additional Details	S	Pub 
Pax7		Pax7	chick	Sarcopterygii: Aves	in situ	immunofluorescence	3	(Beermann et al., 2010)
Pax7		Pax7	elephant shark (Callorhinchus milii)	Elasmobranchii	in situ		3	(Kusakabe et al., 2011)
Pax7		Pax7	elephant shark (Callorhinchus milii)	Elasmobranchii	phylogenetic analysis		4	(Kusakabe et al., 2011)
Pax7		Pax7	sea lampreyÂ (Petromyzon marinus)	Agnatha	in situ		3	(Kusakabe et al., 2011)
Pax7		Pax7	sea lampreyÂ (Petromyzon marinus)	Agnatha	phylogenetic analysis		4	(Kusakabe et al., 2011)
Pbx2		pbx2	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Sakamoto et al., 2009)
Pbx2	pbx2	pbx2	zebrafish	Actinopterygii: Teleostei	in situ	manipulation of the level ofÂ pbx2 effects onset of shh expression	3	(Sakamoto et al., 2009)
pdlim7		Pdlim7	chick	Sarcopterygii: Aves	in situ		3	(Camarata et al., 2010)
pdlim7	pdlim7	pdlim7	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
pdlim7	pdlim7	pdlim7	zebrafish	Actinopterygii: Teleostei	knockdown		2	(Camarata et al., 2010)
Pitx1		Pitx1	chick	Sarcopterygii: Aves	misexpression		2	(Don et al., 2013)
Pitx1		Pitx1	chick	Sarcopterygii: Aves	misexpression	(Logan and Tabin, 1999)	2	(Tanaka et al., 2005) 
Pitx1		Pitx1	mouse	Sarcopterygii: Mammalia	in situ		3	(Don et al., 2013)
Pitx1		Pitx1	mouse	Sarcopterygii: Mammalia	knockout		1	(Don et al., 2013)
Pitx1		Pitx1	mouse	Sarcopterygii: Mammalia	misexpression		2	(Don et al., 2013)
Pitx1		Pitx1	mouse	Sarcopterygii: Mammalia	knockout	(Ouimette et al., 2010)	1	(Don et al., 2013)
Pitx1		Pitx1	mouse	Sarcopterygii: Mammalia	knockout	(Lanctot et al., 1999)	1	(Tanaka et al., 2005) 
Pitx1		Pitx1	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Pitx1		Pitx1	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ		3	(Don et al., 2013)
Pitx1		Pitx1	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	knockout		1	(Don et al., 2013)
Pitx1		Pitx1	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ	(Cole et al., 2003)	3	(Richardson et al., 2009)
Pitx1		Pitx1	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ	(Cole et al., 2003)	3	(Tanaka et al., 2005) 
Pitx2		Pitx2	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ	(Cole et al., 2003)	3	(Richardson et al., 2009)
plod1a	plod1a	lh1,plod1	zebrafish	Actinopterygii: Teleostei	in situ		3	(Duran et al., 2011)
plod1a	plod1a	lh1,plod1	zebrafish	Actinopterygii: Teleostei	knockdown		2	(Duran et al., 2011)
Prdm1		Prdm1	chick	Sarcopterygii: Aves	knockdown		2	(Beermann et al., 2010)
Prdm1		Prdm1	chick	Sarcopterygii: Aves	in situ	immunoblotting, immunocytochemistry, immunofluorescence analysis, immunostaining	3	(Beermann et al., 2010)
Prdm1		Prdm1	chick	Sarcopterygii: Aves	PCR	RT-PCR	3	(Beermann et al., 2010)
Prdm1		Prdm1	lamprey (Lethenteron japonicum)	Agnatha	in situ		3	(Beermann et al., 2010)
Prdm1		Prdm1	mouse	Sarcopterygii: Mammalia	knockout		1	(Beermann et al., 2010)
Prdm1	prdm1	Prdm1	zebrafish	Actinopterygii: Teleostei	knockdown	(Wilm and Solnica-Krezel, 2005)	2	(Beermann et al., 2010)
Prrx1		prrx1	Allis shad (Alosa alosa)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014)
Prrx1		prrx1	Allis shad (Alosa alosa)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1		prrx1	butterflyfish (Pantodon buchholzsi)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1		prrx1	butterflyfish (Pantodon buchholzsi)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1		prrx1	European Eel (Anguilla anguilla)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1		prrx1	European Eel (Anguilla anguilla)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1		prrx1	European Eel (Anguilla anguilla)	Actinopterygii: Teleostei	in situ	whole mount	3	(Braasch et al., 2014) 
Prrx1		prrx1	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1		prrx1	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1		prrx1	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole mount	3	(Braasch et al., 2014) 
Prrx1		prrx1	Northern Pike (Esox lucius)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1		prrx1	Northern Pike (Esox lucius)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1		prrx1	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1		prrx1	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1		prrx1	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	in situ	whole mount	3	(Braasch et al., 2014) 
Prrx1		prrx1	striped catfish (Pangasianodon hypophthalmus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1		prrx1	striped catfish (Pangasianodon hypophthalmus)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1a	prrx1a	prrx1a (prrx1a for (Braasch et al., 2014)  as per ZFIN) 	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1a	prrx1a	prrx1a (prrx1a for (Braasch et al., 2014)  as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1a	prrx1a	prrx1a (prrx1a for (Braasch et al., 2014)  as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	whole mount (Hernandez-Vega and Minguillon, 2011)	3	(Braasch et al., 2014) 
Prrx1a	prrx1a	prx1 (prrx1a as per ZFIN)	zebrafish	Actinopterygii: Teleostei	transgenics	mouse prx1 enhancer expressed in zebrafish	1	(Yano and Tamura, 2013)
Prrx1b	prrx1b	prrx1b (prrx1b for (Braasch et al., 2014)  as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx1b	prrx1b	prrx1b (prrx1b for (Braasch et al., 2014)  as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx1b	prrx1b	prrx1b (prrx1b for (Braasch et al., 2014)  as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	whole mount (Hernandez-Vega and Minguillon, 2011)	3	(Braasch et al., 2014) 
Prrx2		prrx2	Allis shad (Alosa alosa)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx2		prrx2	Allis shad (Alosa alosa)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx2		prrx2	butterflyfish (Pantodon buchholzsi)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx2		prrx2	butterflyfish (Pantodon buchholzsi)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx2		prrx2	European Eel (Anguilla anguilla)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx2		prrx2	European Eel (Anguilla anguilla)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx2		prrx2	European Eel (Anguilla anguilla)	Actinopterygii: Teleostei	in situ	whole mount	3	(Braasch et al., 2014) 
Prrx2		prrx2	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx2		prrx2	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx2		prrx2	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole mount	3	(Braasch et al., 2014) 
Prrx2		prrx2	Northern Pike (Esox lucius)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx2		prrx2	Northern Pike (Esox lucius)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx2		prrx2	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx2		prrx2	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Prrx2		prrx2	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	in situ	whole mount	3	(Braasch et al., 2014) 
Prrx2		prrx2	striped catfish (Pangasianodon hypophthalmus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Braasch et al., 2014) 
Prrx2		prrx2	striped catfish (Pangasianodon hypophthalmus)	Actinopterygii: Teleostei	sequencing	RNA-seq	4	(Braasch et al., 2014) 
Ptch1		ptc1	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Sakamoto et al., 2009)
Ptch2		Ptc2	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Sakamoto et al., 2009)
Rspo2		Rspo2	mouse	Sarcopterygii: Mammalia	knockout	(Nam et al., 2007; Aoki et al., 2008)	1	(Yano et al., 2012)
Rspo2	rspo2	rspo2	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yano et al., 2012)
Shh		shh	Australian skink (Hemiergis)	Sarcopterygii: Reptilia	in situ		3	(Richardson et al., 2009)
Shh		Shh	chick	Sarcopterygii: Aves	in situ	(Niswander, 2003)	3	(Camarata et al., 2010)
Shh		Shh	chick	Sarcopterygii: Aves	ectopic expression		2	(Cole and Currie, 2007) 
Shh		Shh	chick	Sarcopterygii: Aves	ectopic expression		2	(Cole and Currie, 2007) 
Shh		Shh	chick	Sarcopterygii: Aves	in situ	cell fate mapping	3	(Cole and Currie, 2007) 
Shh		Shh	chick	Sarcopterygii: Aves	in situ	(Riddle et al., 1993)	3	(Crotwell and Mabee, 2007) 
Shh		Shh	chick	Sarcopterygii: Aves	ectopic expression	grafting experiments	2	(Hinchliffe, 2002)  
Shh		shh	chick	Sarcopterygii: Aves	overexpression	(Yang et al., 1997)	2	(Richardson et al., 2009)
Shh		Shh	chick	Sarcopterygii: Aves	ectopic expression	tissue grafting, Shh-expressing cells or an Shh-soaked bead :mirror-image duplication	2	(Sakamoto et al., 2009)
Shh		Shh	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Cole and Currie, 2007) 
Shh		Shh	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	knockdown	cyclopamine (antagonist of shh)	2	(Sakamoto et al., 2009)
Shh		Shh	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	overexpression	hh signaling agonist	2	(Sakamoto et al., 2009)
Shh		Shh	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	knockdown	hh signaling antagonist	2	(Sakamoto et al., 2009)
Shh		Shh	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	RT-PCR analysis	3	(Sakamoto et al., 2009)
Shh		Shh	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	overexpression	SAG treatment (agonist of Shh)	2	(Sakamoto et al., 2009)
Shh		Shh	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	degenerate PCR, RT-PCR	3	(Tanaka et al., 2002)  
Shh		shh	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007) 
Shh		Shh	mouse	Sarcopterygii: Mammalia	knockout	(Chiang et al., 2001b)	1	(Abbasi, 2011)
Shh		Shh	mouse	Sarcopterygii: Mammalia	knockout		1	(Berlivet et al., 2013)
Shh		Shh	mouse	Sarcopterygii: Mammalia	in situ	(Niswander, 2003)	3	(Camarata et al., 2010)
Shh		Shh	mouse	Sarcopterygii: Mammalia	knockout		1	(Cole and Currie, 2007) 
Shh		Shh	mouse	Sarcopterygii: Mammalia	knockout		1	(Cole and Currie, 2007) 
Shh		Shh	mouse	Sarcopterygii: Mammalia	in situ	(Riddle et al., 1993)	3	(Crotwell and Mabee, 2007) 
Shh		Shh	mouse	Sarcopterygii: Mammalia	in situ	(Charite et al., 1994)	3	(Gibson-Brown et al., 1996)
Shh		Shh	mouse	Sarcopterygii: Mammalia	ectopic expression	grafting experiments	2	(Hinchliffe, 2002)  
Shh		Shh	mouse	Sarcopterygii: Mammalia	knockout	absence of Shh, autopodial structures fail to develop (Chiang et al., 2001a; Litingtung et al., 2002); also, suppression of Hoxd13 (te Welscher et al., 2002)	1	(Metscher et al., 2005) 
Shh		shh	mouse	Sarcopterygii: Mammalia	in situ	(Ahn and Joyner, 2004)	3	(Richardson et al., 2009)
Shh		shh	mouse	Sarcopterygii: Mammalia	in situ	(Riddle et al., 1993)	3	(Sordino and Duboule, 1996)
Shh		Shh	mouse	Sarcopterygii: Mammalia	knockdown	(Litingtung et al., 2002)	2	(Yano and Tamura, 2013)
Shh		Shh	mouse	Sarcopterygii: Mammalia	knockout		1	(Zeller, 2010)
Shh		Shh	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Davis, 2013) 
Shh		Shh	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Shh		Shh	skate (Raja erinacea)	Elasmobranchii	in situ		3	(Cole and Currie, 2007) 
Shh	shha	Shh (shha for (Ahn and Ho, 2008) based in ZFIN)	zebrafish	Actinopterygii: Teleostei	knockout	(Schauerte et al., 1998)	1	(Ahn and Ho, 2008) 
Shh	shha	Shh (shha in ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Akimenko and Ekker, 1995) 
Shh	shha	Shh (shha in ZFIN)	zebrafish	Actinopterygii: Teleostei	ectopic expression	ectopic expression via RA treatment	2	(Akimenko and Ekker, 1995) 
Shh	shha	Shh	zebrafish	Actinopterygii: Teleostei	transgenics	microinjection of human shh enhancers in zebrafish	1	(Booker et al., 2013)
Shh	shha	Shh (shha for (Sordino et al., 1995) as per ZFIN	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Coates, 1995)
Shh	shha	shh	zebrafish	Actinopterygii: Teleostei	in situ	transgenic	3	(Crotwell and Mabee, 2007) 
Shh	shha	Shha (ZFIN for (Akimenko and Ekker, 1995)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko and Ekker, 1995)	3	(Freitas et al., 2007) 
Shh	shha	shha	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
Shh	shha	Shh (shha for (Sordino et al., 1995) as per ZFIN	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Hinchliffe, 2002)  
Shh	shha	Shh (shha for (Neumann et al., 1999) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	knockout	Shh knockout results in absence of Hoxa-13 expression in fin bud (Neumann et al., 1999)	1	(Metscher et al., 2005) 
Shh	shha	Shh (shha for (Sakamoto et al., 2009) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	knockdown	cyclopamine treatment to inhibit hh signal transduction	2	(Sakamoto et al., 2009)
Shh	shha	Shh (shha for (Sakamoto et al., 2009) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	overexpression	hh signaling agonist	2	(Sakamoto et al., 2009)
Shh	shha	Shh (shha for (Sakamoto et al., 2009) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	knockdown	hh signaling antagonist	2	(Sakamoto et al., 2009)
Shh	shha	Shh (shha for (Sakamoto et al., 2009) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR analysis	3	(Sakamoto et al., 2009)
Shh	shha	Shh (shha for (Sakamoto et al., 2009) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	Shh levels in response to hoxd10aÂ mRNA,Â hoxd13amRNA orÂ hoxa13ainjection	3	(Sakamoto et al., 2009)
Shh	shha	Shh (shha for (Sakamoto et al., 2009) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	Whole-mountÂ in situ, zebrafish sonic you (syu) mutant: in which shh is disrupted	3	(Sakamoto et al., 2009)
Shh	shha	shh (shha for (Sordino and Duboule, 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Sordino and Duboule, 1996)
Shh	shha	Shh (shha for (Neumann et al., 1999) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	knockout	shh loss of function mutation-hoxa13 is lost, also affects hoxa11 (Neumann et al., 1999)	1	(Wagner and Chiu, 2001)  
Shh	shha	Shh (shha in (Neumann et al., 1999))	zebrafish	Actinopterygii: Teleostei	knockout	(Neumann et al., 1999)	1	(Yan et al., 2005) 
Shh	shha	shha	zebrafish	Actinopterygii: Teleostei	in situ		3	(Zhang et al., 2010)
shha	shha	shh (shha as per (ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Sordino et al., 1995) 
shox		shox	chick	Sarcopterygii: Aves	in situ	(Tiecke et al., 2006)	3	(Kenyon et al., 2011)
shox		SHOX	human	Sarcopterygii: Mammalia	natural mutation	mutation results in Leri-Weill dyschondrosteosis (LWD)	1	(Kenyon et al., 2011)
shox	shox	shox	zebrafish	Actinopterygii: Teleostei	in situ		3	(Kenyon et al., 2011)
Shox2		shox2	mouse	Sarcopterygii: Mammalia	in situ	(Blaschke et al., 1998)	3	(Kenyon et al., 2011)
Sox8		Sox8	chick	Sarcopterygii: Aves	in situ	whole mount (Bell et al., 2000)	3	(Yan et al., 2005) 
Sox8		Sox8	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2007) 
Sox8		Sox8	mouse	Sarcopterygii: Mammalia	knockout	(Sock et al., 2001)	1	(Yan et al., 2005) 
Sox8		Sox8	mouse	Sarcopterygii: Mammalia	PCR	RT-PCR (Schepers et al., 2000)	3	(Yan et al., 2005) 
Sox8		Sox8	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Schepers et al., 2000)	3	(Yan et al., 2005) 
Sox9		Sox9	chick	Sarcopterygii: Aves	in situ	(Healy et al., 1999)	3	(Crotwell and Mabee, 2007) 
Sox9		Sox9	chick	Sarcopterygii: Aves	misexpression	(Healy et al., 1999)	2	(Yan et al., 2005) 
Sox9		Sox9	chick	Sarcopterygii: Aves	in situ	(Tabin and Wolpert, 2007)	3	(Zeller, 2010)
Sox9		sox9	human	Sarcopterygii: Mammalia	natural mutation	natural mutation; campomelic dysplasia	1	(Yan et al., 2005) 
Sox9		Sox9	mouse	Sarcopterygii: Mammalia	in situ	(Chiang et al., 2001b)	3	(Crotwell and Mabee, 2007) 
Sox9		Sox9	mouse	Sarcopterygii: Mammalia	phylogenetic analysis	(Chiang et al., 2001b)	4	(Crotwell and Mabee, 2007) 
Sox9		Sox9	mouse	Sarcopterygii: Mammalia	in situ	(Ng et al., 1997)	3	(Crotwell and Mabee, 2007) 
Sox9		Sox9	mouse	Sarcopterygii: Mammalia	knockout	(Mori-Akiyama et al., 2003)	1	(Yan et al., 2005) 
Sox9		Sox9	Xenopus	Sarcopterygii: Amphibia	in situ	(Satoh et al., 2005)	3	(Crotwell and Mabee, 2007) 
Sox9	sox9a	sox9a	zebrafish	Actinopterygii: Teleostei	in situ	(Chiang et al., 2001b)	3	(Crotwell and Mabee, 2007) 
Sox9	sox9a	sox9a	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis	(Chiang et al., 2001b)	4	(Crotwell and Mabee, 2007) 
Sox9	sox9a	sox9a	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR	3	(Crotwell and Mabee, 2007) 
Sox9	sox9a	sox9a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
Sox9	sox9a	sox9a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yan et al., 2005) 
Sox9	sox9a	sox9a	zebrafish	Actinopterygii: Teleostei	knockout		1	(Yan et al., 2005) 
Sox9	sox9a	sox9a	zebrafish	Actinopterygii: Teleostei	overexpression	injection for overexpression	2	(Yan et al., 2005) 
sox9b	sox9b	sox9b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yan et al., 2005) 
sox9b	sox9b	sox9b	zebrafish	Actinopterygii: Teleostei	knockout		1	(Yan et al., 2005) 
sox9b	sox9b	sox9b	zebrafish	Actinopterygii: Teleostei	PCR		3	(Yan et al., 2005) 
sox9b	sox9b	sox9b	zebrafish	Actinopterygii: Teleostei	overexpression	injection for overexpression	2	(Yan et al., 2005) 
Sp8		sp8	chick	Sarcopterygii: Aves	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp8		sp8	chick	Sarcopterygii: Aves	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp8		sp8	chick	Sarcopterygii: Aves	in situ	whole mount in situ (Kawakami et al., 2004)	3	(Yano and Tamura, 2013)
Sp8		sp8	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp8		sp8	human	Sarcopterygii: Mammalia	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp8		sp8	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp8		sp8	mouse	Sarcopterygii: Mammalia	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp8		sp8	mouse	Sarcopterygii: Mammalia	in situ	whole mount in situ (Kawakami et al., 2004)	3	(Yano and Tamura, 2013)
Sp8	sp8	sp8	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp8	sp8	sp8	zebrafish	Actinopterygii: Teleostei	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp8	sp8	sp8 (sp8b as per ZFIN  (Kawakami et al., 2004))	zebrafish	Actinopterygii: Teleostei	in situ	whole mount in situ (Kawakami et al., 2004)	3	(Yano and Tamura, 2013)
Sp9		sp9	chick	Sarcopterygii: Aves	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp9		sp9	chick	Sarcopterygii: Aves	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp9		sp9	chick	Sarcopterygii: Aves	in situ	whole mount in situ (Kawakami et al., 2004)	3	(Yano and Tamura, 2013)
Sp9		sp9	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp9		sp9	human	Sarcopterygii: Mammalia	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp9		sp9	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp9		sp9	mouse	Sarcopterygii: Mammalia	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp9		sp9	mouse	Sarcopterygii: Mammalia	in situ	whole mount in situ (Kawakami et al., 2004)	3	(Yano and Tamura, 2013)
Sp9	sp9	sp9	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Yano and Tamura, 2013)
Sp9	sp9	sp9	zebrafish	Actinopterygii: Teleostei	sequencing	sequence analysis of mouse, zebrafish, chick, human	4	(Yano and Tamura, 2013)
Sp9	sp9	sp9	zebrafish	Actinopterygii: Teleostei	in situ	whole mount in situ (Kawakami et al., 2004)	3	(Yano and Tamura, 2013)
Sp9	sp9	sp9	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yano et al., 2012)
t		Xbra	Xenopus	Sarcopterygii: Amphibia	overexpression	Overexpression of Xbra RNA (Schulte-Merker and Smith, 1995)	2	(Gibson-Brown et al., 1996)
Tax1bp1		Tax1bp1	mouse	Sarcopterygii: Mammalia	in situ	(Lehoczky et al., 2004)	3	(Berlivet et al., 2013)
Tax1bp1	tax1bp1-b	tax1bp1-b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Tbx18		Tbx18	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	(Freitas et al., 2006)	3	(Cole and Currie, 2007) 
Tbx18		Tbx18	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	Immunolocalisation(Cohn et al., 1997; Tanaka and Tickle, 2004)	3	(Cole and Currie, 2007) 
Tbx18		Tbx18	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	RT-PCR (Freitas et al., 2006)	3	(Cole and Currie, 2007) 
Tbx18		Tbx18	lamprey (Lethenteron japonicum)	Agnatha	in situ 	(Freitas et al., 2006)	3	(Cole and Currie, 2007) 
Tbx18		Tbx18	lamprey (Lethenteron japonicum)	Agnatha	phylogenetic analysis	(Freitas et al., 2006)	4	(Cole and Currie, 2007) 
Tbx18		Tbx18	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2006) 
Tbx2		Tbx2	Amphioxus (Branchiostoma floridae)	Cephalochordata	in situ		3	(Horton et al., 2008) 
Tbx2		Tbx2	chick	Sarcopterygii: Aves	in situ	(Suzuki et al., 2004)	3	(Abbasi, 2011)
Tbx2		Tbx2	chick	Sarcopterygii: Aves	misexpression	(Suzuki et al., 2004)	2	(Abbasi, 2011)
Tbx2		Tbx2	chick	Sarcopterygii: Aves	misexpression	(Suzuki et al., 2004)	2	(Horton et al., 2008) 
Tbx2		tbx2	chick	Sarcopterygii: Aves	sequencing	sequence alignment of zebrafish, human, chick	4	(Ruvinsky et al., 2000) 
Tbx2		tbx2	human	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, human, chick	4	(Ruvinsky et al., 2000) 
Tbx2		Tbx2	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(Gibson-Brown et al., 1996)
Tbx2	tbx2b	tbx2 (tbx2b in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ruvinsky et al., 2000) 
Tbx2	tbx2b	tbx2 (tbx2b in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Ruvinsky et al., 2000) 
Tbx2	tbx2b	tbx2 (tbx2b in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment of zebrafish, human, chick	4	(Ruvinsky et al., 2000) 
Tbx3		Tbx3	Amphioxus (Branchiostoma floridae)	Cephalochordata	in situ		3	(Horton et al., 2008) 
Tbx3		Tbx3	chick	Sarcopterygii: Aves	in situ	(Suzuki et al., 2004)	3	(Abbasi, 2011)
Tbx3		Tbx3	chick	Sarcopterygii: Aves	misexpression	(Suzuki et al., 2004)	2	(Abbasi, 2011)
